title,author,department,keywords,abstract,published_date,url,retrieve_date
人工智能发展、地区差异与就业影响 网络首发,邱新平,江西财经大学国际经贸学院,人工智能|就业|地区差异|聚类分析|随机效应模型,文章采用聚类分析法将我国31个省份划分为发达地区与欠发达地区两大类，在地区划分的基础上，利用Stata软件实证分析了2010—2019年的面板数据，并运用随机效应模型分析了人工智能发展对就业总量及各分行业就业结构的影响。结果显示：发达地区的人工智能发展对就业总量的促进效应显著高于其在欠发达地区的促进效应；发达地区人工智能发展对其制造业、批发和零售业的抑制效应与对交通运输业、租赁和商务服务业就业的促进效应均大于欠发达地区。,2023-03-03 09:36,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=1&recid=&FileName=TJJC2023022300E&DbName=CAPJLAST&DbCode=CAPJ&yx=Y&pr=&URLID=42.1009.C.20230228.1758.001,2023-03-09 11:45:27
人工智能发展、地区差异与就业影响 网络首发,胡孜,华东交通大学经济管理学院,人工智能|就业|地区差异|聚类分析|随机效应模型,文章采用聚类分析法将我国31个省份划分为发达地区与欠发达地区两大类，在地区划分的基础上，利用Stata软件实证分析了2010—2019年的面板数据，并运用随机效应模型分析了人工智能发展对就业总量及各分行业就业结构的影响。结果显示：发达地区的人工智能发展对就业总量的促进效应显著高于其在欠发达地区的促进效应；发达地区人工智能发展对其制造业、批发和零售业的抑制效应与对交通运输业、租赁和商务服务业就业的促进效应均大于欠发达地区。,2023-03-03 09:36,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=1&recid=&FileName=TJJC2023022300E&DbName=CAPJLAST&DbCode=CAPJ&yx=Y&pr=&URLID=42.1009.C.20230228.1758.001,2023-03-09 11:45:27
拜登政府对华人工智能产业的打压与中国因应 网络首发,李鹏,中国人民大学国际关系学院,人工智能|中美数字竞争|科技打压|拜登政府,"[研究目的]通过梳理和分析拜登政府对华人工智能产业打压的动因与路径,为我国因应工作提供建议。[研究方法]基于拜登政府官方文件等开源资料,采用文本分析与战略研判相结合的方法,梳理拜登政府对华人工智能产业打压的原因与措施,并探讨中国的应对之道。[研究结论]拜登政府对华人工智能产业打压的动因涉及技术霸权、经济利益、安全驱动、意识形态四方面,其做法包括:强化价值观冲突与舆论攻击,联动使用法律、出口管制等国内政策工具,扩大排华技术联盟等。我国可从国家战略、外交、产业、反制工具等方面做出有效应对。",2023-02-28 09:14,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=3&recid=&FileName=QBZZ20230224001&DbName=CAPJLAST&DbCode=CAPJ&yx=Y&pr=&URLID=61.1167.g3.20230227.0932.002,2023-03-09 11:45:45
拜登政府对华人工智能产业的打压与中国因应 网络首发,赵书韫,中国人民大学国际关系学院,人工智能|中美数字竞争|科技打压|拜登政府,"[研究目的]通过梳理和分析拜登政府对华人工智能产业打压的动因与路径,为我国因应工作提供建议。[研究方法]基于拜登政府官方文件等开源资料,采用文本分析与战略研判相结合的方法,梳理拜登政府对华人工智能产业打压的原因与措施,并探讨中国的应对之道。[研究结论]拜登政府对华人工智能产业打压的动因涉及技术霸权、经济利益、安全驱动、意识形态四方面,其做法包括:强化价值观冲突与舆论攻击,联动使用法律、出口管制等国内政策工具,扩大排华技术联盟等。我国可从国家战略、外交、产业、反制工具等方面做出有效应对。",2023-02-28 09:14,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=3&recid=&FileName=QBZZ20230224001&DbName=CAPJLAST&DbCode=CAPJ&yx=Y&pr=&URLID=61.1167.g3.20230227.0932.002,2023-03-09 11:45:45
拜登政府对华人工智能产业的打压与中国因应 网络首发,戚凯,中国政法大学全球化与全球问题研究所,人工智能|中美数字竞争|科技打压|拜登政府,"[研究目的]通过梳理和分析拜登政府对华人工智能产业打压的动因与路径,为我国因应工作提供建议。[研究方法]基于拜登政府官方文件等开源资料,采用文本分析与战略研判相结合的方法,梳理拜登政府对华人工智能产业打压的原因与措施,并探讨中国的应对之道。[研究结论]拜登政府对华人工智能产业打压的动因涉及技术霸权、经济利益、安全驱动、意识形态四方面,其做法包括:强化价值观冲突与舆论攻击,联动使用法律、出口管制等国内政策工具,扩大排华技术联盟等。我国可从国家战略、外交、产业、反制工具等方面做出有效应对。",2023-02-28 09:14,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=3&recid=&FileName=QBZZ20230224001&DbName=CAPJLAST&DbCode=CAPJ&yx=Y&pr=&URLID=61.1167.g3.20230227.0932.002,2023-03-09 11:45:45
人工智能具有理解力吗——从哲学解释学的视角看 网络首发,王敬,山西大学哲学社会学学院,人工智能|解释学|理解力|具身认知|算法,"从“深蓝”到Alpha Go,人工智能在问题求解、深度学习等领域迅猛发展,人们看到了其具有类似于人类理解能力甚至超越人类智能的可能性,但人工智能是否具有理解力仍值得商榷。一方面,人类理解是具有多重维度的现象,包含着形式化的推理计算、非形式化的直觉、顿悟以及行动等诸多内容;另一方面,人工智能的算法不能产生类似于人的理解。从哲学解释学的视角看,人类理解充斥着反思要素,理解本身也是一种自我理解;人工智能缺乏人类理解具有的“前结构”;最重要地,人工智能自身蕴含的离身认知逻辑与人类具身性的理解并不融贯,这可能是它无法真正具有理解力的关键。",2023-02-23 13:47,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=5&recid=&FileName=DLGD2023022200C&DbName=CAPJLAST&DbCode=CAPJ&yx=Y&pr=&URLID=21.1383.c.20230223.0950.011,2023-03-09 11:46:02
人工智能具有理解力吗——从哲学解释学的视角看 网络首发,魏屹东,山西大学哲学社会学学院,人工智能|解释学|理解力|具身认知|算法,"从“深蓝”到Alpha Go,人工智能在问题求解、深度学习等领域迅猛发展,人们看到了其具有类似于人类理解能力甚至超越人类智能的可能性,但人工智能是否具有理解力仍值得商榷。一方面,人类理解是具有多重维度的现象,包含着形式化的推理计算、非形式化的直觉、顿悟以及行动等诸多内容;另一方面,人工智能的算法不能产生类似于人的理解。从哲学解释学的视角看,人类理解充斥着反思要素,理解本身也是一种自我理解;人工智能缺乏人类理解具有的“前结构”;最重要地,人工智能自身蕴含的离身认知逻辑与人类具身性的理解并不融贯,这可能是它无法真正具有理解力的关键。",2023-02-23 13:47,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=5&recid=&FileName=DLGD2023022200C&DbName=CAPJLAST&DbCode=CAPJ&yx=Y&pr=&URLID=21.1383.c.20230223.0950.011,2023-03-09 11:46:02
性别差异下人工智能技术冲击与工作认同 网络首发,程雅馨,中国人民大学劳动人事学院,人工智能|工作要求|工作条件感知|工作认同|性别差异,为探讨人工智能技术应用对员工工作认同的影响机制及边界条件，文章以“基于任务的模型”和自我决定理论为基础构建有调节的中介效应模型，并利用北京市100家人工智能技术应用型企业的数据进行实证检验，研究发现：人工智能技术冲击程度对员工工作认同具有显著正向影响，工作要求和工作条件感知在其中起到中介作用；性别调节了工作条件感知与员工工作认同之间的关系，即在人工智能技术冲击影响下，与男性相比，工作条件感知变化越明显，女性对工作的认同越强。,2023-02-22 14:58,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=7&recid=&FileName=HDJJ20230221007&DbName=CAPJLAST&DbCode=CAPJ&yx=Y&pr=&URLID=34.1014.F.20230221.1325.005,2023-03-09 11:46:18
性别差异下人工智能技术冲击与工作认同 网络首发,程延园,中国人民大学劳动人事学院,人工智能|工作要求|工作条件感知|工作认同|性别差异,为探讨人工智能技术应用对员工工作认同的影响机制及边界条件，文章以“基于任务的模型”和自我决定理论为基础构建有调节的中介效应模型，并利用北京市100家人工智能技术应用型企业的数据进行实证检验，研究发现：人工智能技术冲击程度对员工工作认同具有显著正向影响，工作要求和工作条件感知在其中起到中介作用；性别调节了工作条件感知与员工工作认同之间的关系，即在人工智能技术冲击影响下，与男性相比，工作条件感知变化越明显，女性对工作的认同越强。,2023-02-22 14:58,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=7&recid=&FileName=HDJJ20230221007&DbName=CAPJLAST&DbCode=CAPJ&yx=Y&pr=&URLID=34.1014.F.20230221.1325.005,2023-03-09 11:46:18
性别差异下人工智能技术冲击与工作认同 网络首发,何勤,首都经济贸易大学劳动经济学院,人工智能|工作要求|工作条件感知|工作认同|性别差异,为探讨人工智能技术应用对员工工作认同的影响机制及边界条件，文章以“基于任务的模型”和自我决定理论为基础构建有调节的中介效应模型，并利用北京市100家人工智能技术应用型企业的数据进行实证检验，研究发现：人工智能技术冲击程度对员工工作认同具有显著正向影响，工作要求和工作条件感知在其中起到中介作用；性别调节了工作条件感知与员工工作认同之间的关系，即在人工智能技术冲击影响下，与男性相比，工作条件感知变化越明显，女性对工作的认同越强。,2023-02-22 14:58,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=0&CurRec=7&recid=&FileName=HDJJ20230221007&DbName=CAPJLAST&DbCode=CAPJ&yx=Y&pr=&URLID=34.1014.F.20230221.1325.005,2023-03-09 11:46:18
